Аргентинос Хуниорс-Колехио ВардАргентина,19.10.2023 в ,4.4,10.1,1.3
Доррего(жен)-Ривер Плейт(жен)Жен,19.10.2023 в ,4.2,9.7,1.32
С.Аравия-Юж,19.10.2023 в 15:00,3.6,9.2,1.43
Кувейт-ИранОлимпийские игры Квалификация,19.10.2023 в 19:00,1.87,8,2.35
Япония-БахрейнОлимпийские игры Квалификация,19.10.2023 в 21:00,3.45,9.1,1.45
Ференцварош ТК-ЧургоВенгрия,19.10.2023 в 23:00,1.29,10.4,4.7
Нордстранн(жен)-Сторхамар Бредде(жен)Жен,19.10.2023 в 23:00,1.42,8.8,3.6
Кольстад-ТХВ КильЛига Чемпионов,19.10.2023 в 23:45,2.03,8.02,2.18
РК Загреб-Еврофарм ПелистерЛига Чемпионов,19.10.2023 в 23:45,1.5,8.56,3.42
Веспрем-Висла ПлоцкЛига Чемпионов,19.10.2023 в 23:45,1.21,11.55,6.02
Фюксе Берлин-МельзунгенГермания,20.10.2023 в ,1.4,9.2,3.9
Скара(жен)-Эннередс(жен)Жен,20.10.2023 в ,3.8,9.1,1.41
Шёвде-ХаммарбюШвеция,20.10.2023 в ,2.17,7.6,2
Сессон Ренн-Шартр МетрополеФранция,20.10.2023 в ,1.88,7.84,2.39
Магдебург-ПортуЛига Чемпионов,20.10.2023 в ,1.14,13.57,7.74
Виве Кельце-Пик СегедЛига Чемпионов,20.10.2023 в ,1.5,8.86,3.37
Фрам-ВикингурИсландия,20.10.2023 в ,1.27,10.1,4.7
