Лаваль Рокет-Рочестер АмерикансAHLП12,19.10.2023 в ,2.41,4.18,22.36
Оттава-ВашингтонNHLП11,19.10.2023 в ,1.89,4.55,23.35
Провиденс Брюинз-Бриджпорт АйлендерсAHLП12,19.10.2023 в ,2.23,4.04,22.62
Детройт-ПиттсбургNHLП12,19.10.2023 в ,2.64,4.39,22.26
Динамо Нева(жен)-Белые Медведицы(жен)Жен,19.10.2023 в 17:00,1.43,4.9,25.
Ермак Ангарск-Факел СалехардНМХЛП15,19.10.2023 в 18:00,5.63,5.63,21.3
ХК Норильск-СКА НеваВХЛП12,19.10.2023 в 19:00,2.95,3.87,22.1
Торпедо У-К-АрланКазахстан,19.10.2023 в 19:30,4.74,4.74,21.5
Иртыш Павлодар-КулагерКазахстан,19.10.2023 в 20:00,3.03,4.24,21.9
Автомобилист-Амур ХабаровскКХЛП11,19.10.2023 в 21:00,1.91,3.88,23.68
Трактор-Металлург МгКХЛП13,19.10.2023 в 21:00,3.33,3.98,21.99
Злин(до20)-Йиглава(до20)Чехия,19.10.2023 в 22:00,2.68,4.04,22.1
Пльзень(до20)-Млада Болеслав(до20)Чехия,19.10.2023 в 22:00,2.54,3.93,22.3
Ческе Будеевице(до20)-Литвинов(до20)Чехия,19.10.2023 в 22:15,2.14,4.07,22.7
К-Эспоо-ФПСФинляндия,19.10.2023 в 22:30,1.19,7.31,210.1
Прогим Георгени-УйпештВенгрия,19.10.2023 в 22:30,1.74,4.52,23.5
Эссят-ХИФКФинляндия,19.10.2023 в 22:30,2.81,3.72,22.24
Кярпят-ЮкуритФинляндия,19.10.2023 в 22:30,2.12,3.81,22.96
Спарта(до20)-Либерец(до20)Чехия,19.10.2023 в 23:00,1.72,4.47,23.6
Оломоуц(до20)-Комета Брно(до20)Чехия,19.10.2023 в 23:00,3.39,4.17,21.8
Пршеров(до20)-Витковице(до20)Чехия,19.10.2023 в 23:00,3.95,4.45,21.6
ЦСКА М-ЛокомотивКХЛП12,19.10.2023 в 23:30,2.31,3.66,22.87
Динамо Мн-Куньлунь РСКХЛП11,19.10.2023 в 23:30,1.38,5.48,26.81
ХК Ростов-Металлург НкВХЛП13,19.10.2023 в 23:30,3.76,4.07,21.7
Комет-Фриск АскерНорвегия,19.10.2023 в 23:30,9.62,8.2,21.18
Рингерике-ЛоренскогНорвегия,19.10.2023 в 23:30,1.65,4.8,23.88
Сторхамар-ЛиллехаммерНорвегия,19.10.2023 в 23:30,1.19,9.2,28.09
Волеренга-СтьерненНорвегия,19.10.2023 в 23:30,1.51,4.98,24.78
Акрони Есенице-Клагенфурт IIАльпийская хоккейная лигаП11,20.10.2023 в ,1.11,10.09,213.1
Целе ХК-ФассаАльпийская хоккейная лигаП13,20.10.2023 в ,3.12,4.03,21.9
Лександ-ОскарсхамнШвеция,20.10.2023 в ,1.91,4.06,23.45
Линчепинг-ФрелундаШвеция,20.10.2023 в ,2.69,3.95,22.3
Лулео-ФерьестадШвеция,20.10.2023 в ,2.34,3.74,22.73
Мальме-ТимроШвеция,20.10.2023 в ,2.45,3.98,22.5
Эребру-ХВ-71Швеция,20.10.2023 в ,1.81,4.27,23.66
Регле-ШеллефтеоШвеция,20.10.2023 в ,2.43,3.74,22.63
Векшё Лейкерс-МоДоШвеция,20.10.2023 в ,1.79,4.26,23.75
Ред Булл Зальцбург II-БрегенцервальдАльпийская хоккейная лигаП12X4,20.10.2023 в ,2,4.04,23.0
Стил Вингс Линц-КицбюэльАльпийская хоккейная лигаП13,20.10.2023 в ,3.82,4.42,21.
Целлер Айсбэрен-Риттен СпортАльпийская хоккейная лигаП11,20.10.2023 в ,1.77,4.45,23.4
Фиштаун-ИзерлонГермания․ DELП11,20.10.2023 в ,1.58,4.75,24.45
Унтерланд Кавалиерс-КортинаАльпийская хоккейная лигаП13,20.10.2023 в ,3.19,4.05,21.9
Випитено-EХK ЛюстенауАльпийская хоккейная лигаП11,20.10.2023 в ,1.89,4.27,23.
ХК Мерано-ГарденаАльпийская хоккейная лигаП12,20.10.2023 в ,2.58,4.26,22.
Баффало-КалгариNHLП12,20.10.2023 в ,2.58,4.38,22.31
Флорида-ТоронтоNHLП12,20.10.2023 в ,2.75,4.55,22.15
Рейнджерс-НэшвиллNHLП11,20.10.2023 в ,1.88,4.56,23.35
Тампа-Бэй-ВанкуверNHLП11,20.10.2023 в ,1.89,4.71,23.25
Мичиган Стейт Спартанс-КанисиусNCAAП11,20.10.2023 в ,1.62,4.71,23.9
Филадельфия-ЭдмонтонNHLП13,20.10.2023 в ,3.46,4.72,21.82
Миннесота-Лос-АнджелесNHLП12,20.10.2023 в ,2.36,4.23,22.57
Сент-Луис-АризонаNHLП12,20.10.2023 в ,2.14,4.41,22.81
Виннипег-ВегасNHLП12,20.10.2023 в ,2.61,4.22,22.33
Анахайм-ДалласNHLП14,20.10.2023 в ,4.15,4.7,21.68
Сиэтл-КаролинаNHLП13,20.10.2023 в ,3.01,4.57,22.01
Колорадо-ЧикагоNHLП11,20.10.2023 в ,1.5,5.28,25.18
Сан-Хосе-БостонNHLП14,20.10.2023 в ,4.21,4.92,21.64
Грац-ФиллахерАвстрия,21.10.2023 в ,3.6,4.26,21.77
Зальцбург-АзиагоАвстрия,21.10.2023 в ,1.19,7.03,210.25
Инсбрук-Вена КэпиталзАвстрия,21.10.2023 в ,1.88,4.25,23.23
Клагенфурт-Олимпия ЛюблянаАвстрия,21.10.2023 в ,1.6,4.61,24.26
Пайонирз Форарльберг-Альба Волан ФехерварАвстрия,21.10.2023 в ,3.47,4.42,21.78
