Саудовская Аравия — Южная Корея,19.10.2023 в 15:00,4.00,9.50,1.38
ОАЭ — Китай,19.10.2023 в 17:00,2.70,9.00,1.65
Кувейт — Иран,19.10.2023 в 19:00,1.90,7.90,2.35
Япония — Бахрейн,19.10.2023 в 21:00,4.00,9.50,1.38
Кольстад — Киль,19.10.2023 в 23:45,2.17,7.70,2.15
Загреб — Еврофарм Пелистер,19.10.2023 в 23:45,1.48,9.50,3.70
Веспрем — Висла Плоцк,19.10.2023 в 23:45,1.25,11.00,6.00
Кельце — Пик Сегед,20.10.2023 в 01:45,1.48,9.50,3.70
Магдебург — Порту,20.10.2023 в 01:45,1.20,12.00,7.00
Дебрецен (ж) — Будучность (ж),21.10.2023 в 21:00,1.35,10.50,4.70
КСМ Бухарест (ж) — Брест (ж),21.10.2023 в 21:00,1.19,12.50,7.40
Дьер Ауди (ж) — Оденсе (ж),21.10.2023 в 23:00,1.20,12.50,6.90
Крим Меркатор (ж) — Вайперс Кристиансанн (ж),21.10.2023 в 23:00,2.70,8.50,1.75
Битигхайм (ж) — Савехоф (ж),22.10.2023 в 19:00,1.06,21.00,17.00
Эсбьерг (ж) — ФТК (ж),22.10.2023 в 21:00,1.07,19.00,15.00
Мец (ж) — Рапид Бухарест (ж),22.10.2023 в 21:00,1.16,15.00,8.50
Фюхзе Берлин — Мельзунген,20.10.2023 в 00:00,1.37,9.50,4.00
Балинген — Вецлар,21.10.2023 в 00:00,1.87,8.00,2.40
Ганновер-Бургдорф — Лейпциг,21.10.2023 в 00:00,1.73,8.00,2.60
Айзенах — Гамбург,21.10.2023 в 01:00,4.70,9.50,1.30
Бергишер — Геппинген,22.10.2023 в 00:00,1.73,8.00,2.60
Эрланген — Фленсбург,22.10.2023 в 00:00,5.20,10.00,1.25
Киль — Лемго,22.10.2023 в 20:00,1.17,11.50,7.30
Штутгарт — Магдебург,22.10.2023 в 21:30,6.90,11.50,1.17
Райн-Некар Левен — Гуммерсбах,22.10.2023 в 21:30,1.35,9.50,4.30
Сеннерйюск — Скьерн,21.10.2023 в 00:00,2.85,8.50,1.65
Рингстед — Лемвиг,21.10.2023 в 00:30,1.95,8.50,2.20
Коллинг — Норшелланн,21.10.2023 в 20:30,1.55,8.50,3.10
Рибе-Эсбьерг — Морс-Тю,21.10.2023 в 21:00,1.90,8.50,2.25
ГОГ — Бьеррингбро-Силькеборг,21.10.2023 в 21:10,1.52,9.00,3.20
Ольборг — Фредерисия,23.10.2023 в 01:00,1.30,11.00,4.70
Хольстебро — Сканнерборг,23.10.2023 в 23:00,2.35,8.50,1.87
Куэнка — Адемар Леон,21.10.2023 в 01:30,1.73,8.00,2.60
Торрелавега — Пуэнте-Хениль,21.10.2023 в 21:00,1.53,9.00,3.20
Бидасоа Ирун — Нава,21.10.2023 в 22:30,1.07,15.00,10.50
Уэска — Гранольерс,22.10.2023 в 00:00,2.70,9.00,1.65
Атлетико Вальядолид — Ла-Риоха,22.10.2023 в 01:30,1.90,8.50,2.25
Пуэрто Сагунто — Анайтасуна,22.10.2023 в 22:30,4.50,10.00,1.30
Кангас — Синфин,23.10.2023 в 00:00,1.17,12.50,6.80
Сесон Ренн — Шартр,20.10.2023 в 01:30,1.88,7.90,2.35
Лимож — Тулуза,21.10.2023 в 00:00,2.75,8.50,1.68
Дюнкерк — Кретей,21.10.2023 в 01:00,1.45,9.00,3.60
Сен-Рафаэль — Дижон,21.10.2023 в 01:00,1.30,10.00,4.70
Шамбери — Нант,22.10.2023 в 00:00,4.30,9.50,1.35
Ним — Экс,22.10.2023 в 22:00,1.32,10.00,4.60
Иври — Монпелье,22.10.2023 в 23:00,7.30,11.50,1.17
Шевде — Хаммарбю,20.10.2023 в 00:00,2.20,7.70,2.00
Амо — Эскильстуна Гуиф,21.10.2023 в 00:00,1.35,9.00,4.30
Мальме — Аранас,21.10.2023 в 00:00,1.35,9.00,4.30
Оннеред — Халлбю,21.10.2023 в 00:00,1.38,9.00,4.05
Луги — Кристианстад,21.10.2023 в 01:00,6.60,11.00,1.19
Скара (ж) — Оннеред (ж),20.10.2023 в 00:00,4.15,10.00,1.35
Луги (ж) — Шевде (ж),20.10.2023 в 23:00,5.40,11.00,1.25
Аранас (ж) — Скуру (ж),21.10.2023 в 00:00,6.40,12.00,1.19
Кристианстад (ж) — Х 65 Хеэр (ж),21.10.2023 в 00:00,1.38,9.50,4.05
Аргентинос Хуниорс — Колледжио Вард,19.10.2023 в 07:30,4.20,11.00,1.32
Мануэль Доррего (ж) — Ривер Плейт (ж),19.10.2023 в 07:30,4.30,10.00,1.33
ФТК — Чургои,19.10.2023 в 23:00,1.27,10.50,5.00
Фрам — Викингур,20.10.2023 в 02:30,1.28,11.00,4.80
Нордстранн (ж) — Сторхамар-2 (ж),19.10.2023 в 23:00,1.40,9.50,3.90
Пфади Винтертур — Кадеттен Шаффхаузен,21.10.2023 в 22:00,2.60,9.50,1.70
ИФК Истад — Варберг,21.10.2023 в 00:00,3.00,9.50,1.50
Редбергслид — Дротт,21.10.2023 в 19:00,2.45,9.50,1.67
Хельсинборг — Тюресе,21.10.2023 в 19:00,1.14,12.50,6.50
Кунгэльв — ИФК Карлскруна,21.10.2023 в 20:00,1.14,12.50,6.50
Винслев — Сканела,21.10.2023 в 21:00,2.05,9.00,1.95
Андерсторп — ВестеросИрста,21.10.2023 в 21:15,1.90,9.00,2.10
Линдесберг — Торсланда Элит,21.10.2023 в 22:00,1.80,9.00,2.25
