Мельзунген-Эрланген,17.10.2023 в 00:00,1.24,13.0,6.00
Врольд-Скандерборг-Ольборг,16.10.2023 в 01:00,7.00,15.0,1.19
Синфин-Адемар Леон,16.10.2023 в 00:45,6.00,13.0,1.24
Беса Фамгас-Бешикташ Истанбул,16.10.2023 в 01:00,8.60,17.0,1.14
ММТС Квидзын-Висла Плоцк,16.10.2023 в 23:00,16.0,21.0,1.03
Поважска Быстрица-Брага,17.10.2023 в 23:45,2.36,8.00,1.89
Горенье-Винтертур,17.10.2023 в 23:45,2.06,8.00,2.12
Кристианштад-Рейн-Некар Лёвен,17.10.2023 в 23:45,6.00,13.0,1.19
Гурник Забже-АЕК Афины,17.10.2023 в 23:45,2.40,8.00,1.86
ГОГ-Монпелье,18.10.2023 в 23:45,2.04,8.00,2.15
Целье-Барселона,18.10.2023 в 23:45,15.0,25.0,1.03
ПСЖ-Ольборг,19.10.2023 в 01:45,1.43,9.80,3.60
Загреб-Пелистер,19.10.2023 в 23:45,1.31,10.0,4.50
Веспрем-Висла Плоцк,19.10.2023 в 23:45,1.17,14.0,6.60
Колстад-Киль,19.10.2023 в 23:45,2.55,8.00,1.78
Магдебург-Порту,20.10.2023 в 01:45,1.05,22.0,12.0
Виве Кельце-Пик Сегед,20.10.2023 в 01:45,1.25,12.0,5.20
Хернинг-Икаст (ж)-Заглембе Любин (ж),21.10.2023 в 21:00,-,35.0,18.0
Дебрецен (ж)-Будучность (ж),21.10.2023 в 21:00,1.32,12.0,4.20
Бухарест (ж)-Брест Бретань (ж),21.10.2023 в 21:00,1.20,14.0,5.80
Дьер ЭТО (ж)-Оденсе (ж),21.10.2023 в 23:00,1.21,14.0,5.60
Крим Любляна (ж)-Виперс Кристиансанд (ж),21.10.2023 в 23:00,2.70,8.20,1.70
Битигхайм (ж)-Савехоф (ж),22.10.2023 в 19:00,1.05,27.0,11.0
Эсбьерг (ж)-Ференцварош (ж),22.10.2023 в 21:00,1.06,24.0,11.0
Метц (ж)-Рапид Бухарест (ж),22.10.2023 в 21:00,1.14,16.0,7.00
